Year(s) of Live Birth,Maternal Window,Data Source,Risk Factor Type,Risk Factor,Risk Factor Strata,Live Births (N),Live Births (%),Any Sepsis Incidence (N),"Any Sepsis Incidence per 100,000 Live Births",Any Sepsis Crude Odds Ratio (95% CI),Any Sepsis p-value,Severe Sepsis Incidence (N),"Severe Sepsis Incidence per 100,000 Live Births",Severe Sepsis Crude Odds Ratio (95% CI),Severe Sepsis p-value
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Alcohol abuse,No,638839,99.82,532,83.28,ref,,124,19.41,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Alcohol abuse,Yes,1184,0.18,5,422.3,5.09 (2.11-12.30),0.0003,1,84.46,4.36 (0.61-31.18),0.1426
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Asthma,No,596372,93.18,449,75.29,ref,,101,16.94,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Asthma,Yes,43651,6.82,88,201.6,2.68 (2.13-3.37),<.0001,24,54.98,3.25 (2.08-5.07),<.0001
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Cardiac valvular disease,No,637840,99.66,527,82.62,ref,,124,19.44,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Cardiac valvular disease,Yes,2183,0.34,10,458.09,5.57 (2.97-10.42),<.0001,1,45.81,2.36 (0.33-16.87),0.3932
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Chronic congestive heart failure,No,639881,99.98,535,83.61,ref,,124,19.38,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Chronic congestive heart failure,Yes,142,0.02,2,1408.45,17.09 (4.23-69.15),<.0001,1,704.23,36.67 (5.10-263.7),0.0003
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Chronic ischemic heart disease,No,639637,99.94,535,83.64,ref,,123,19.23,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Chronic ischemic heart disease,Yes,386,0.06,2,518.13,6.22 (1.55-25.03),0.0101,2,518.13,27.08 (6.67-109.9),<.0001
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Chronic renal disease,No,637197,99.56,496,77.84,ref,,118,18.52,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Chronic renal disease,Yes,2826,0.44,41,1450.81,18.91 (13.73-26.06),<.0001,7,247.7,13.41 (6.25-28.77),<.0001
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Congenital heart disease,No,633520,98.98,507,80.03,ref,,108,17.05,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Congenital heart disease,Yes,6503,1.02,30,461.33,5.79 (4.00-8.37),<.0001,17,261.42,15.37 (9.21-25.65),<.0001
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Cystic fibrosis,No,638668,99.79,536,83.92,ref,,124,19.42,ref,
2016-2018,Pregnancy,SPARCS,Bateman Comorbidities,Cystic fibrosis,Yes,1355,0.21,1,73.8,0.88 (0.12-6.26),0.8978,1,73.8,3.80 (0.53-27.23),0.1835
